"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.578595231E2,6.505786367E1,2.547516040E1,1.860755341E1,1.105439041E0,9.725451502E1,4.772080883E0,3.324421917E0
1.588595158E2,6.505787286E1,2.547518674E1,1.829671365E1,9.097224338E-1,8.599647991E1,4.777132513E0,3.317158722E0
1.598595085E2,6.505788161E1,2.547520896E1,1.861211468E1,7.738000274E-1,7.393590981E1,4.784728628E0,3.306192522E0
1.608595011E2,6.505788507E1,2.547524147E1,1.871934290E1,9.012455561E-1,7.990012789E1,4.789635212E0,3.299080413E0
1.618594935E2,6.505789268E1,2.547527364E1,1.880503568E1,9.920473753E-1,7.644594477E1,4.794394519E0,3.292160116E0
1.628594913E2,6.505789828E1,2.547529980E1,1.888146713E1,9.414204567E-1,7.396099560E1,4.798930195E0,3.285545010E0
1.638594801E2,6.505790398E1,2.547533039E1,1.864600150E1,9.556479194E-1,7.382756999E1,4.809750128E0,3.269685113E0
1.648594730E2,6.505791069E1,2.547536402E1,1.856734640E1,1.009750766E0,7.427502024E1,4.816051728E0,3.260396109E0
1.658594661E2,6.505792361E1,2.547538199E1,1.867724162E1,9.573921974E-1,6.068162945E1,4.821327693E0,3.252589171E0
1.668594582E2,6.505792701E1,2.547540629E1,1.853057677E1,8.791799918E-1,6.205820467E1,4.826589065E0,3.244776576E0
1.678594508E2,6.505793382E1,2.547543290E1,1.864192694E1,8.821252334E-1,5.872788017E1,4.829960404E0,3.239756091E0
1.688594441E2,6.505794129E1,2.547543766E1,1.876574261E1,5.764455361E-1,4.419714663E1,4.829553743E0,3.240362275E0
1.698594372E2,6.505795450E1,2.547546403E1,1.908066207E1,8.613811478E-1,4.441818148E1,4.830900399E0,3.238354268E0
1.708594300E2,6.505796322E1,2.547547274E1,1.894732342E1,7.495122997E-1,3.776690341E1,4.830978681E0,3.238237486E0
1.718594239E2,6.505797694E1,2.547548965E1,1.895218305E1,9.355628261E-1,3.702343150E1,4.828929719E0,3.241292150E0
1.728594157E2,6.505798802E1,2.547549990E1,1.918071115E1,8.429013867E-1,3.276933058E1,4.826725414E0,3.244573748E0
1.738594090E2,6.505800187E1,2.547552157E1,1.924209883E1,1.000684221E0,3.218944494E1,4.827184350E0,3.243890917E0
1.748594013E2,6.505801358E1,2.547555559E1,1.904907438E1,1.166155389E0,3.655383540E1,4.815073800E0,3.261840175E0
1.758593942E2,6.505802218E1,2.547558449E1,1.888828079E1,1.173091986E0,3.702070413E1,4.815215508E0,3.261630979E0
